  0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2
0 F F F F F F F F F F F F F F F F W F F F F F F F F F F F F F F F F
1 F W W F W W W F W W F W W W W F W F W W W W F W W F W W W F W W F
2 F W W F W W W F W W F F F F F F W F F F F F F W W F W W W F W W F
3 F W W F W W W F W W F W F W W F W F W W F W F W W F W W W F W W F
4 F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F
5 F W W F W F W W W W W F W W F W W W F W W F W W W W W F W F W W F
6 F F F F W F F F W F F F F W F F F F F W F F F F W F F F W F F F F 
7 W W W F W W W F W F W W F W F W F W F W F W W F W F W W W F W W W 
8 O O W F W F F F F F F F F F F W F W F F F F F F F F F F W F W O O
9 O O W F F F W W F W W W W F F F F F F F W W W W F W W F F F W O O 
0 O O W F W F W W F W W W W F W W O W W F W W W W F W W F W F W O O                                                                         
1 W W W F F F F F F F F F F F W G O G W F F F F F F F F F F F W W W
2 F F F F W W W W W W F W W F W G O G W F W W F W W W W W W F F F F
3 F W W F W W W W W W F F F F W W W W W F F F F W W W W W W F W W F
4 F W F F F F F F F F F W W F F F F F F F W W F F F F F F F F F W F
5 F W F W W W W F W W W W W W W W F W W W W W W W W F W W W W F W F
6 F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F
7 F W W W W W F W W W F W W F W F W F W F W W F W W W F W W W W W F
8 F W W W W W F W W W F W W F W F W F W F W W F W W W F W W W W W F
9 F F F F F F F F F F F F F F F F W F F F F F F F F F F F F F F F F
